sample,gender,age,birth,residence,screeningQuestion-1,screeningQuestion-2,screeningQuestion-3,screeningQuestion-4,screeningQuestion-5,screeningQuestion-6,screeningQuestion-7,screeningQuestion-8,screeningQuestion-9,groups,Artist,Statement,Order,ai_experience,ai_appsCount,ai_usageFrequency,ai_attitude_productive,ai_attitude_enjoyable,A_perception_emotion-1,A_perception_emotion-2,A_perception_intention-1,A_perception_intention-2,A_perception_cognition-1,A_perception_cognition-2,A_artisticValue-1,A_artisticValue-2,A_artisticValue-3,A_enjoyment-1,A_enjoyment-2,A_enjoyment-3,B_perception_emotion-1,B_perception_emotion-2,B_perception_intention-1,B_perception_intention-2,B_perception_cognition-1,B_perception_cognition-2,B_artisticValue-1,B_artisticValue-2,B_artisticValue-3,B_enjoyment-1,B_enjoyment-2,B_enjoyment-3,validation,education,income,art_education-or-profession,feedback
192,2,20,1,3,1,2,3,,5,,7,8,,8,AI,absent,scene first,1,1,6,1,1,4,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,3,2,3,1,2,
195,1,31,2,1,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,2,4,2,1,4,4,4,1,1,1,4,1,3,3,4,1,1,2,1,1,1,1,1,1,1,2,1,1,1,4,1,1,
199,2,47,3,4,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,1,2,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,1,7,2,2,
200,2,47,3,8,1,,3,4,5,,7,8,,2,AI,present,classroom first,2,,,,,3,3,4,3,3,3,4,4,4,3,4,3,3,3,4,3,3,3,4,3,3,3,3,3,1,5,7,1,
201,2,61,5,1,1,2,3,4,5,,,8,,5,Human,present,scene first,1,1,5,2,1,4,4,5,3,4,5,4,4,3,5,4,3,4,4,5,5,3,5,4,4,4,5,5,4,2,1,2,2,네
202,1,54,4,11,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,2,,,,,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,3,3,1,4,4,2,
208,1,43,3,8,1,2,3,4,5,,7,8,,6,AI,present,scene first,1,2,5,1,1,2,2,4,1,2,2,4,1,4,3,4,1,2,2,5,2,1,2,5,3,5,2,4,2,1,6,2,2,너무 잘 정돈된 이미지가 기계적인 느낌을 줍니다 그런면에서 아직 인간의 복잡한 감정을 이미지로 표현하기는 부족하다고 생각합니다
209,1,51,4,2,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,1,3,1,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,1,5,3,2,
210,1,31,2,8,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,2,,,,,3,4,3,3,3,4,4,4,4,4,4,3,3,4,3,3,3,4,4,4,4,4,4,3,2,5,2,2,
212,2,29,1,13,1,,3,,5,,7,8,,1,Human,present,classroom first,2,,,,,4,4,3,4,4,4,4,3,4,3,3,3,3,4,3,3,3,3,4,4,4,4,3,4,1,5,1,2,
213,2,39,2,1,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,2,3,1,1,3,2,2,2,3,3,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,1,5,4,1,없음
215,1,45,3,1,1,2,3,4,,,,,,3,Human,absent,classroom first,1,1,3,1,1,3,3,3,3,2,3,3,2,2,3,3,2,3,3,3,2,2,3,3,3,3,3,3,2,1,5,3,2,감사합니다
221,1,34,2,8,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,3,2,1,1,2,2,4,4,3,4,5,4,5,4,5,4,4,3,4,4,3,4,4,4,4,4,5,4,1,5,6,2,
223,1,50,4,3,1,2,3,,,6,7,8,,8,AI,absent,scene first,2,,,,,2,2,3,4,3,2,2,2,3,3,3,2,3,3,3,3,2,3,3,2,3,3,3,2,1,5,3,2,
225,2,39,2,1,1,,3,4,,,7,8,,3,Human,absent,classroom first,1,1,1,1,1,5,5,5,5,4,4,4,3,3,3,4,3,2,4,4,3,3,3,3,4,3,4,3,3,1,8,4,2,
232,1,36,2,1,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,1,5,2,2,2,1,2,1,3,3,3,3,3,3,5,1,2,2,2,2,1,1,2,3,2,3,4,2,1,5,2,2,
233,1,27,1,14,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,2,,,,,1,3,3,3,3,4,4,3,3,4,3,2,5,5,4,4,4,4,4,3,4,2,4,3,1,5,7,2,
236,1,47,3,6,1,2,3,4,,,7,8,,1,Human,present,classroom first,2,,,,,4,4,4,4,4,4,5,4,4,3,4,3,3,4,3,3,3,3,4,3,3,3,3,3,1,5,3,2,많이 참여하고싶네요
241,2,32,2,8,1,2,3,4,5,,7,8,,7,Human,absent,scene first,2,,,,,4,4,4,3,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,2,1,4,2,2,
242,2,35,2,3,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,1,6,2,1,2,1,3,2,4,3,3,4,3,4,3,2,2,2,2,2,1,2,3,1,2,1,2,1,2,5,3,2,괜찮습니다
244,1,26,1,8,1,2,3,4,5,6,7,8,,6,AI,present,scene first,1,3,2,1,1,3,2,4,3,3,3,4,3,4,3,3,3,2,2,5,4,3,3,4,3,4,3,3,3,2,5,2,2,
247,1,45,3,8,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,1,3,1,1,2,2,3,2,1,2,3,3,2,4,4,1,3,3,4,3,2,3,4,2,3,2,4,3,2,5,4,2,
251,1,48,3,1,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,1,1,3,1,1,2,4,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,4,3,1,4,2,2,
252,2,27,1,5,1,,3,4,5,6,7,8,,5,Human,present,scene first,2,,,,,2,2,3,4,2,1,3,1,1,3,2,1,2,2,4,3,1,2,2,1,2,1,2,1,1,5,2,2,
253,2,37,2,1,1,2,3,4,,6,7,8,,7,Human,absent,scene first,1,1,3,1,1,2,2,4,4,3,3,3,2,2,2,2,2,4,4,4,4,3,4,4,4,4,4,4,4,2,5,2,2,인공지능 느낌이 많이 남
254,1,43,3,1,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,1,1,3,1,1,3,4,3,4,4,3,4,3,4,4,4,3,2,3,3,3,3,3,4,4,3,4,4,4,1,6,3,2,
255,1,28,1,12,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,3,2,1,1,2,4,4,4,5,4,5,4,4,5,4,3,5,4,5,5,5,5,5,4,5,5,5,4,1,2,2,2,딱히 없다
257,1,41,3,8,1,2,3,4,5,,7,8,,2,AI,present,classroom first,2,,,,,2,2,3,2,3,2,3,3,3,3,3,2,2,2,3,3,3,2,3,3,3,3,3,3,2,2,4,2,없습니다
258,2,22,1,2,1,2,,,5,,7,8,,2,AI,present,classroom first,1,3,2,1,1,4,2,5,5,3,4,5,3,5,5,5,2,2,1,4,5,3,4,5,4,5,4,3,2,1,3,1,2,
259,1,31,2,8,1,2,3,4,5,,7,8,,8,AI,absent,scene first,1,2,3,1,1,2,4,4,1,1,1,4,3,2,3,4,2,4,4,3,2,2,1,4,3,4,3,4,2,2,5,2,2,ai한테 어떤 명령을 내린건지 궁금하네요 사진별로
260,2,61,5,1,1,,,4,5,,7,8,,5,Human,present,scene first,2,,,,,4,4,5,3,4,3,4,3,4,4,4,3,5,5,5,4,5,5,5,4,5,3,4,3,1,2,3,2,
261,2,28,1,1,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,1,6,1,2,2,1,4,4,3,1,1,2,1,1,1,1,1,1,4,4,3,1,3,1,1,1,1,1,2,4,2,1,
262,2,31,2,1,1,2,3,4,5,,7,8,,3,Human,absent,classroom first,1,1,3,2,1,4,4,4,4,4,4,2,2,4,2,2,2,2,4,4,4,2,2,4,4,4,4,4,3,2,5,2,2,
268,1,53,4,8,1,,3,,5,,,,,1,Human,present,classroom first,1,3,2,1,2,4,4,4,4,4,4,4,3,4,3,4,3,3,4,3,4,3,3,4,3,3,3,3,3,1,5,3,2,
269,2,51,4,2,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,1,1,4,1,1,4,4,4,4,3,4,5,4,5,5,5,4,3,3,3,3,3,4,4,3,3,4,4,3,1,6,5,2,
270,2,32,2,1,1,2,3,4,5,,7,8,,6,AI,present,scene first,1,1,4,2,2,3,5,4,3,3,4,4,3,5,5,5,4,4,4,4,4,4,5,5,4,5,4,5,5,1,5,5,2,
272,1,30,2,3,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,1,3,1,1,3,4,3,5,4,3,3,5,4,4,3,4,3,4,4,3,4,4,5,4,4,4,3,4,1,5,7,2,
277,2,40,3,12,1,,,,5,,,8,,7,Human,absent,scene first,1,1,4,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,1,4,2,5,5,2,3,4,1,1,2,1,
278,2,35,2,1,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,2,5,1,1,2,2,4,4,4,3,3,3,3,3,3,2,2,3,3,3,3,3,3,4,4,4,2,2,1,6,4,2,
282,2,37,2,6,1,2,3,4,5,,7,8,,8,AI,absent,scene first,2,,,,,2,2,5,5,2,2,5,5,5,5,5,3,2,2,5,5,2,2,5,5,5,5,5,2,1,4,1,2,
283,1,65,5,1,1,2,3,4,5,6,7,8,,6,AI,present,scene first,2,,,,,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,1,5,2,2,인공지능의 맛이 현실감있게 다가온다
287,1,55,4,1,1,,3,4,,6,7,8,,4,AI,absent,classroom first,2,,,,,3,3,4,4,3,3,4,3,4,4,4,3,2,3,4,4,3,4,4,3,4,3,4,3,2,5,4,2,
289,1,35,2,17,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,2,,,,,2,3,3,3,3,3,3,4,3,4,4,3,4,4,4,4,4,4,4,3,4,3,4,3,2,5,2,2,
294,1,46,3,8,1,2,3,4,5,6,7,8,,6,AI,present,scene first,1,1,1,1,1,2,2,5,3,2,2,4,3,3,3,5,3,3,3,5,4,3,3,4,3,3,3,5,3,2,6,3,2,
295,1,48,3,5,1,2,3,4,5,,7,8,,1,Human,present,classroom first,1,1,2,1,1,5,4,5,2,4,5,5,5,5,2,5,2,5,2,4,2,2,5,4,2,4,3,2,2,2,5,3,2,2번째 봄 관련 그림에서 벚꽃이 절정에 이르렀으면 사람들이 벚꽃 구경 놀이를 하지 들판에 ?자리 깔고 벚꽃 놀이를 하지 않는데 그림 설정이 언발란스 하네요
297,2,27,1,1,1,2,3,4,5,,7,8,,3,Human,absent,classroom first,1,2,5,2,1,5,3,4,4,4,5,3,3,4,4,5,3,4,4,3,4,4,3,2,2,3,2,4,2,1,4,1,1,
300,2,46,3,10,1,2,,4,5,,7,8,,5,Human,present,scene first,2,,,,,3,3,4,3,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,3,1,5,4,2,
302,2,32,2,11,1,2,3,4,5,,7,8,,1,Human,present,classroom first,1,1,6,2,2,3,3,3,1,3,1,1,3,3,1,1,1,1,3,3,1,3,3,3,3,3,1,3,1,1,2,2,1,없습니다
304,2,37,2,8,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,2,,,,,2,2,4,4,2,3,2,2,1,2,1,1,3,3,4,5,3,3,4,3,4,4,2,2,2,4,2,1,
307,1,37,2,17,1,2,3,4,,,7,8,,8,AI,absent,scene first,1,1,2,1,1,4,4,5,4,3,4,4,4,4,3,4,3,3,4,4,3,4,3,4,4,3,4,5,4,1,2,2,2,
308,2,31,2,2,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,1,6,2,2,3,4,4,4,4,4,5,4,5,5,4,3,4,4,5,4,4,4,5,4,4,3,4,3,1,5,2,1,
310,1,33,2,13,1,2,3,,,,7,8,,1,Human,present,classroom first,2,,,,,2,4,4,5,5,4,4,3,5,3,4,2,3,4,4,4,2,3,3,2,4,3,4,2,2,5,1,2,
311,2,38,2,1,1,2,3,4,5,6,7,8,,6,AI,present,scene first,1,1,6,1,2,1,1,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,3,3,3,1,6,3,2,
313,1,44,3,1,1,,3,4,,,7,8,,3,Human,absent,classroom first,1,2,2,1,1,2,3,1,3,3,5,2,3,4,3,5,2,2,4,5,4,3,3,4,5,5,4,2,4,1,4,3,2,있습니다
314,2,36,2,1,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,1,4,1,1,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,3,2,5,7,2,
315,1,41,3,1,1,2,3,4,,,,,,4,AI,absent,classroom first,2,,,,,1,1,4,3,2,2,4,3,3,2,2,3,1,1,4,2,2,1,1,2,1,2,2,1,1,5,6,2,표절느낌이든다
316,2,30,2,1,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,2,2,1,1,4,2,4,5,4,5,5,3,4,4,5,5,4,4,4,5,5,5,5,3,5,4,5,5,1,5,2,1,생성형 AI 디자인을 2개 정도 더 추가해도 좋을 것 같음
317,2,25,1,1,1,2,3,4,,,7,8,,6,AI,present,scene first,1,3,2,1,2,1,1,4,4,2,1,3,3,3,3,3,2,2,1,4,3,3,2,1,2,3,3,4,1,1,5,2,2,
318,2,54,4,8,1,,3,4,,,,8,,6,AI,present,scene first,1,1,5,1,1,2,3,4,2,4,4,4,5,5,5,5,4,2,2,4,2,3,3,4,5,5,5,5,4,1,2,2,2,없음
319,1,40,3,8,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,1,2,1,1,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,1,5,3,2,
320,1,52,4,3,1,2,3,4,,6,7,8,,7,Human,absent,scene first,1,2,6,2,1,3,3,4,3,2,3,3,3,4,2,3,2,4,4,3,4,4,3,4,3,3,3,4,2,1,5,5,2,없음
321,2,34,2,1,1,2,3,4,5,,7,8,,3,Human,absent,classroom first,1,1,4,1,1,3,2,4,4,2,2,4,3,3,1,4,2,3,4,4,4,3,4,4,4,3,4,4,3,2,5,2,2,
323,1,32,2,12,1,2,3,4,5,,7,8,,3,Human,absent,classroom first,1,1,6,1,1,4,4,4,4,3,4,4,3,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,1,6,3,2,
326,2,44,3,2,1,2,3,4,5,,,,,4,AI,absent,classroom first,1,1,6,1,2,3,3,3,2,2,3,3,2,3,2,3,3,3,4,4,3,3,3,3,3,3,4,3,3,1,2,3,2,
327,2,20,1,6,1,,3,4,5,,7,8,,7,Human,absent,scene first,2,,,,,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,1,3,1,2,
331,1,54,4,1,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,1,3,1,1,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,1,5,4,2,감사합니다
334,1,34,2,7,1,2,3,4,5,6,7,8,,6,AI,present,scene first,1,1,4,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,2,1,4,2,2,2,3,2,2,8,5,2,생성형AI가 만든 이미지의 기반이 되는 작품들소개 필요
336,2,27,1,8,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,1,1,6,1,1,3,4,3,3,3,4,4,3,3,3,2,1,2,2,3,2,3,2,2,3,3,3,2,2,1,5,2,1,
337,2,26,1,15,1,2,3,4,5,,,8,,8,AI,absent,scene first,1,1,3,1,1,3,3,5,4,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,4,2,3,1,2,
338,2,56,4,8,1,2,3,4,5,,7,8,,4,AI,absent,classroom first,1,2,3,1,1,3,3,3,3,2,2,3,4,3,4,4,3,3,2,2,2,2,2,3,3,3,3,3,3,1,4,3,2,
339,1,46,3,16,1,2,3,4,5,6,7,8,,6,AI,present,scene first,1,1,4,2,1,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,2,없음
340,1,64,5,8,1,2,3,4,5,6,,8,,2,AI,present,classroom first,1,2,3,1,2,3,2,4,2,4,2,2,4,4,3,4,2,2,2,4,2,4,2,4,3,4,4,4,3,2,6,5,1,없음
342,2,24,1,1,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,1,1,3,2,1,2,4,4,3,3,3,4,4,3,4,5,4,4,3,3,3,4,4,3,3,4,3,4,4,2,5,2,2,
343,1,24,1,1,1,2,3,4,5,,7,8,,7,Human,absent,scene first,1,1,4,1,1,2,2,3,2,2,3,3,3,4,4,2,2,3,3,3,2,2,3,2,3,2,2,2,2,2,2,3,2,
345,1,49,3,5,1,2,3,4,5,,7,8,,4,AI,absent,classroom first,1,3,1,2,2,4,2,3,2,2,3,3,2,3,2,4,2,2,2,1,2,3,2,2,2,2,2,1,1,1,6,4,1,
347,1,45,3,8,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,1,7,1,2,2,4,3,3,2,2,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,3,1,5,3,2,
348,1,64,5,1,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,1,1,4,1,1,3,4,4,5,4,3,4,5,4,3,5,4,4,5,4,5,4,3,4,5,4,4,5,4,1,5,3,2,감사합니다
350,2,66,5,8,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,1,4,1,1,3,3,4,4,3,4,4,3,3,3,3,3,4,4,4,4,3,4,4,3,4,3,4,4,1,2,2,2,
351,2,54,4,8,1,2,3,4,5,,7,8,,3,Human,absent,classroom first,1,1,3,2,2,2,1,3,3,2,1,4,1,3,1,2,1,3,4,3,2,1,1,3,2,2,2,1,1,1,5,3,2,
354,1,44,3,15,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,2,,,,,4,4,4,3,4,5,4,4,4,4,4,4,2,3,3,2,3,2,3,3,2,3,2,2,2,5,4,2,전반적으로 산뜻한 설문이었습니다
357,2,26,1,8,1,2,3,4,5,,7,8,,8,AI,absent,scene first,1,1,4,1,1,3,2,4,2,1,2,4,3,3,3,4,2,2,2,4,2,2,2,4,2,4,3,3,2,1,5,7,2,없습니다
360,2,57,4,8,1,2,3,4,5,,7,8,,1,Human,present,classroom first,1,1,4,2,2,4,4,4,4,4,4,4,3,3,3,3,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,1,2,
361,1,28,1,8,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,1,4,1,1,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,4,3,4,3,4,3,2,2,2,2,
364,1,65,5,15,1,2,3,4,5,6,7,8,,5,Human,present,scene first,2,,,,,3,4,4,4,2,4,3,3,2,4,2,2,4,5,4,4,4,4,5,2,4,3,4,2,2,5,3,2,감사합니다
366,1,34,2,4,1,2,3,4,5,6,7,8,,6,AI,present,scene first,1,1,6,2,1,3,3,2,3,2,3,4,4,4,4,4,3,3,3,3,3,3,3,5,4,4,3,4,3,1,5,3,2,
367,1,49,3,15,1,,3,4,5,,7,8,,1,Human,present,classroom first,1,1,3,1,1,4,4,4,4,3,3,4,3,3,4,3,3,3,4,4,4,3,3,4,3,4,4,3,4,1,4,3,2,
368,2,29,1,8,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,1,5,1,1,3,4,4,4,2,3,2,3,2,3,4,1,2,3,3,3,1,2,2,2,1,2,1,1,1,5,2,2,
370,1,51,4,8,1,2,3,4,5,,,8,,8,AI,absent,scene first,1,2,4,1,1,3,2,3,1,4,4,3,2,2,2,3,2,2,2,3,2,2,3,3,2,2,2,3,2,2,6,4,2,
371,1,40,3,2,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,1,1,4,2,2,2,3,4,2,3,3,3,4,3,3,3,2,4,4,4,3,3,4,3,3,4,3,4,3,1,5,2,2,
374,1,41,3,1,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,2,4,1,1,4,2,4,5,4,3,4,4,4,4,4,4,3,2,3,3,3,2,2,1,2,2,1,1,2,5,2,1,"AI는 발전중이고, 점점 그림에 있어서 대체가 상당부분 가능할 것 같지만, 아직은 위화감이 분명 존재합니다."
376,1,57,4,1,1,,3,4,5,,,,,3,Human,absent,classroom first,1,2,4,1,1,1,2,3,2,3,2,3,2,3,2,2,3,2,2,1,2,2,2,1,2,2,2,2,1,1,5,3,2,없음
377,1,42,3,9,1,,3,4,,,7,8,,2,AI,present,classroom first,1,1,2,1,1,4,4,4,3,4,4,5,4,5,4,5,4,4,4,3,3,4,4,4,4,4,4,4,4,1,5,2,2,
379,1,32,2,1,1,2,3,4,5,,7,8,,8,AI,absent,scene first,2,,,,,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,1,5,2,2,
380,2,46,3,1,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,1,2,3,1,1,4,4,4,3,4,4,4,3,4,3,4,3,3,3,3,2,2,3,2,2,3,2,2,1,2,4,1,2,주제가 아니었으면 사람이 한것 같았음
386,1,38,2,11,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,1,4,1,1,4,4,5,2,3,2,4,3,4,3,4,2,3,4,4,3,2,2,4,3,4,4,3,2,1,6,3,2,
388,2,34,2,12,1,,,,5,,,8,,7,Human,absent,scene first,1,1,5,1,1,1,5,3,3,5,5,5,3,5,5,4,3,5,5,5,5,5,5,5,5,5,3,5,3,1,5,3,2,네
389,1,34,2,1,1,,3,4,,,7,8,,3,Human,absent,classroom first,1,1,4,1,1,3,4,4,4,4,3,4,4,4,3,4,2,3,3,3,4,2,2,3,4,4,4,4,3,1,5,4,2,
390,2,44,3,15,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,3,2,1,2,1,2,4,4,3,2,4,3,4,3,4,2,2,3,4,4,4,3,4,2,4,4,4,3,1,4,2,2,
391,2,38,2,4,1,2,3,4,5,6,7,8,,6,AI,present,scene first,2,,,,,3,3,4,5,3,3,5,3,5,4,2,3,4,4,5,5,4,3,4,4,4,3,4,3,2,5,2,1,
394,1,47,3,8,1,,,,5,6,,,,7,Human,absent,scene first,1,1,2,1,1,2,4,3,3,4,4,4,4,3,4,2,3,3,4,4,4,4,4,4,3,4,2,4,3,1,2,4,2,적절한 설문으로 느끼며 응했습니다.
396,2,42,3,1,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,1,3,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,5,2,2,
398,2,38,2,4,1,,3,4,5,6,7,8,,3,Human,absent,classroom first,2,,,,,3,4,4,4,3,4,4,3,3,2,3,2,2,4,4,3,3,3,4,2,3,2,2,2,1,5,7,2,
