sample,gender,age,birth,residence,screeningQuestion-1,screeningQuestion-2,screeningQuestion-3,screeningQuestion-4,screeningQuestion-5,screeningQuestion-6,screeningQuestion-7,screeningQuestion-8,screeningQuestion-9,groups,Artist,Statement,Order,ai_experience,ai_appsCount,ai_usageFrequency,ai_attitude_productive,ai_attitude_enjoyable,A_perception_emotion-1,A_perception_emotion-2,A_perception_intention-1,A_perception_intention-2,A_perception_cognition-1,A_perception_cognition-2,A_artisticValue-1,A_artisticValue-2,A_artisticValue-3,A_enjoyment-1,A_enjoyment-2,A_enjoyment-3,B_perception_emotion-1,B_perception_emotion-2,B_perception_intention-1,B_perception_intention-2,B_perception_cognition-1,B_perception_cognition-2,B_artisticValue-1,B_artisticValue-2,B_artisticValue-3,B_enjoyment-1,B_enjoyment-2,B_enjoyment-3,validation,education,income,art_education-or-profession,feedback
399,1,53,4,3,1,2,3,4,,6,7,8,,1,Human,present,classroom first,1,1,6,1,1,2,4,5,4,4,4,4,2,3,2,4,3,2,4,4,4,3,4,5,2,3,2,4,3,2,6,4,2,
401,1,43,3,2,1,2,3,4,5,6,7,8,,6,AI,present,scene first,1,1,5,1,1,2,4,4,2,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,4,2,5,3,2,없습니다.
402,1,53,4,9,1,,3,4,5,,7,8,,5,Human,present,scene first,1,1,6,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,3,2,1,6,3,2,예 있습니다
403,2,32,2,8,1,2,3,4,,6,7,8,,8,AI,absent,scene first,2,,,,,3,3,4,4,3,3,4,3,4,3,3,3,3,3,4,4,3,3,4,3,3,3,4,3,2,5,2,2,
404,1,47,3,1,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,2,1,1,1,2,2,4,4,3,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,2,3,2,
405,1,69,5,3,1,2,3,4,5,,7,,,6,AI,present,scene first,1,2,3,1,1,3,2,4,3,4,3,2,3,4,4,3,3,4,4,4,3,2,3,2,2,3,3,3,3,2,5,5,1,현실적으로  인공지능이 현 사회에서 불안하게 인정 되고 있다
408,2,37,2,13,1,2,,4,,,,8,,6,AI,present,scene first,1,2,5,2,2,4,3,4,4,4,4,3,4,4,4,4,3,5,5,5,5,5,5,5,4,5,3,4,4,1,5,3,2,감사합니다
410,2,33,2,12,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,2,,,,,3,3,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,5,4,3,1,5,2,2,
413,2,33,2,1,1,2,,4,5,6,7,8,,8,AI,absent,scene first,2,,,,,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,1,5,3,2,
416,1,47,3,1,1,,,4,,,,8,,8,AI,absent,scene first,1,1,4,1,1,3,2,4,3,3,3,4,3,4,4,4,3,4,4,4,4,3,3,4,3,4,3,4,3,1,6,4,2,
417,2,28,1,10,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,1,1,4,1,1,3,3,4,4,3,3,4,3,4,4,3,3,4,4,4,4,4,4,4,3,4,3,4,3,2,5,2,2,
419,2,38,2,10,1,2,,4,,,,,,2,AI,present,classroom first,1,1,7,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,2,4,1,2,
421,2,31,2,1,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,1,3,5,2,1,4,4,4,4,3,4,4,4,5,4,2,2,2,4,4,3,2,2,3,2,2,3,1,1,1,6,3,1,
422,1,51,4,1,1,2,3,4,,,7,8,,4,AI,absent,classroom first,1,1,4,1,1,3,4,4,3,3,4,4,3,4,3,4,3,3,3,4,3,3,4,4,4,4,3,4,4,1,8,4,2,없습니다.
423,2,32,2,1,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,2,5,1,1,3,4,4,2,3,3,4,3,3,3,4,2,3,3,4,3,3,3,4,3,3,3,4,3,1,5,2,2,
424,1,50,4,1,1,2,3,4,5,,7,8,,5,Human,present,scene first,2,,,,,2,4,4,3,4,4,4,4,5,4,3,3,4,5,4,4,5,5,5,4,5,4,4,3,1,5,4,2,"방금전 평가한 창작물이 AI에 의한 창작물인지 여부를 정확히 모르고 설문을 했습니다. 그게 맞는건지, 아님 알고 했어야 하는지 모르겠어요."
425,1,60,5,4,1,2,3,4,5,,,8,,1,Human,present,classroom first,1,3,3,1,1,4,5,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,3,2,5,4,2,
428,1,51,4,8,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,2,,,,,2,3,3,3,3,4,3,2,2,2,3,2,3,4,4,2,3,4,3,3,3,4,3,3,1,4,3,2,네 참여하겠습니다
429,2,42,3,1,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,2,2,1,1,1,4,3,4,4,4,5,4,5,5,5,5,4,4,5,4,4,5,5,5,5,5,5,5,1,8,6,1,감정없는 느낌이다.
431,2,42,3,1,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,1,3,2,1,1,4,4,4,4,4,4,3,3,4,3,4,3,3,3,4,3,3,3,3,3,4,3,2,2,1,5,2,2,
432,2,34,2,8,1,2,3,4,5,,7,8,,2,AI,present,classroom first,1,2,5,2,1,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,5,4,5,4,4,1,4,2,2,
433,2,34,2,8,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,2,3,1,1,3,3,3,3,3,3,3,3,3,3,4,3,2,4,4,3,4,4,4,5,4,4,4,4,1,6,2,2,
434,2,22,1,1,1,2,3,4,5,,7,8,,2,AI,present,classroom first,1,3,2,1,1,3,3,4,2,3,4,4,2,3,3,4,2,2,2,3,3,2,3,3,2,2,3,3,2,1,3,1,2,
435,2,29,1,4,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,2,,,,,2,2,3,3,3,4,4,3,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,1,4,2,2,
438,2,42,3,4,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,2,2,1,1,3,4,4,3,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,2,5,2,2,
439,1,36,2,1,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,3,1,1,1,3,5,3,4,5,5,5,5,5,5,4,3,4,3,5,5,5,4,4,3,4,4,5,4,2,5,2,1,?히 없습니다
440,1,60,5,1,1,2,3,4,5,,7,8,,7,Human,absent,scene first,1,2,3,1,2,3,4,3,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,3,3,3,1,5,2,2,
441,2,46,3,1,1,2,3,4,5,,7,8,,2,AI,present,classroom first,2,,,,,4,4,3,3,4,4,4,4,4,4,4,3,3,3,3,4,4,3,4,4,4,4,4,3,2,4,5,2,
444,2,51,4,8,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,2,,,,,2,4,3,3,3,3,3,3,3,4,4,2,2,2,2,3,3,3,2,2,2,2,2,2,1,5,3,2,
447,2,56,4,6,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,1,1,6,2,2,4,3,4,3,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,3,3,3,2,2,1,5,5,2,.
448,1,49,3,2,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,1,3,1,1,2,2,3,3,3,3,3,3,3,2,2,1,4,4,4,4,4,4,4,4,4,3,4,3,1,5,5,1,없음
450,1,50,4,2,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,1,5,1,1,1,4,5,4,4,4,4,5,4,5,4,4,4,4,5,5,4,4,4,5,5,4,4,5,4,1,4,3,2,
452,2,55,4,8,1,2,3,4,5,,7,8,,6,AI,present,scene first,2,,,,,2,2,2,2,2,2,2,2,3,2,3,2,4,4,3,3,3,3,4,4,4,3,3,2,1,5,1,2,
455,1,30,2,4,1,,,4,,,7,8,,1,Human,present,classroom first,1,1,3,2,1,4,4,3,4,4,3,3,4,2,3,3,2,2,2,3,2,2,3,3,2,3,3,2,2,2,5,1,2,
456,2,21,1,8,1,2,3,4,5,,7,8,,6,AI,present,scene first,2,,,,,1,1,4,2,2,1,4,3,4,3,2,1,1,1,4,2,2,1,4,3,3,3,2,1,1,3,1,2,
457,2,35,2,15,1,2,3,4,5,,7,8,,6,AI,present,scene first,2,,,,,3,4,5,4,4,3,4,5,5,5,5,5,4,5,5,5,3,4,4,3,4,3,4,5,1,4,2,2,
459,2,23,1,15,1,2,3,4,5,,,8,,6,AI,present,scene first,1,2,3,1,1,4,4,5,3,4,4,4,2,4,4,4,2,2,3,4,2,3,4,4,2,3,2,4,2,1,6,4,1,"본 설문지에 담긴 사진 외에도 더 뛰어난 사진과 그림이 많이 있다고 생각됩니다. 그러한 그림으로 다시 질문을 재구성해보면 좋겠습니다. 특히 문장이 조금 매끄럽지 않다고 느껴지는 부분도 있습니다. 매료되었다, 목표가 있다 앞 사진에 비해 질문의 수준이 조금 높은 것 같습니다."
460,1,40,3,1,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,2,,,,,3,3,4,4,3,3,3,2,2,3,2,1,3,3,4,4,3,2,3,2,2,3,2,1,1,5,3,2,특별히 없습니다.
463,1,41,3,1,1,2,3,4,5,,7,8,,6,AI,present,scene first,2,,,,,2,2,4,2,3,4,4,2,4,3,4,3,3,4,4,3,3,4,5,4,4,3,4,3,1,5,3,2,
464,2,27,1,8,1,2,,,5,,7,8,,1,Human,present,classroom first,1,2,3,2,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,5,2,1,
465,1,54,4,8,1,2,3,4,5,,7,8,,2,AI,present,classroom first,2,,,,,3,2,4,4,4,3,4,2,2,2,3,2,3,3,4,4,4,3,3,2,2,1,3,1,1,5,4,2,
466,1,40,3,2,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,2,2,1,1,4,4,4,4,3,3,4,3,4,3,3,3,3,3,4,4,4,4,4,3,4,3,3,3,1,5,5,2,
467,1,40,3,8,1,,3,4,5,,7,8,,6,AI,present,scene first,1,1,4,1,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,2,
468,2,51,4,1,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,1,3,1,1,3,4,4,4,3,3,4,3,4,4,4,4,4,4,3,4,4,4,5,5,4,5,4,4,1,4,3,2,첫번째는 다크한분위기 두번째는 밝은분위기라 미적으로 밝은분위기에 더 호감이 가네요
469,1,40,3,8,1,,3,4,5,,,,,4,AI,absent,classroom first,1,1,2,1,1,4,4,3,3,4,4,5,2,3,3,4,3,3,3,3,4,4,5,4,2,3,3,4,3,1,4,2,2,
470,1,58,4,15,1,2,3,4,5,,7,8,,4,AI,absent,classroom first,1,2,2,1,1,4,4,4,5,5,4,4,5,4,4,5,5,4,4,3,4,3,3,4,4,5,4,4,4,1,5,4,2,
471,2,37,2,8,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,2,,,,,2,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,3,4,3,3,3,3,4,3,1,2,2,2,
472,1,34,2,1,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,2,,,,,3,3,4,3,3,4,2,3,3,4,4,3,4,4,3,4,4,3,4,3,4,4,4,3,2,7,1,2,
474,2,26,1,1,1,2,3,4,5,,7,8,,5,Human,present,scene first,1,3,2,1,1,3,3,4,3,3,3,4,4,4,5,5,2,4,4,4,4,4,4,5,4,5,5,5,5,1,5,2,2,"AI 관련 질문이 도입부에 나와서, 일러스트가 AI 의 그림이라는 것을 추측할 수 있었습니다.일러스트 질문이 먼저 나오고 이후 AI 관련 질문이 나온다면, 좋을 것 같습니다."
475,1,49,3,15,1,2,3,4,5,,7,8,,5,Human,present,scene first,1,1,4,1,1,3,3,4,4,4,5,4,4,4,4,3,3,4,4,4,3,4,4,5,4,5,3,4,4,1,4,4,2,
479,2,35,2,5,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,2,,,,,2,3,2,4,4,4,5,5,5,5,4,3,4,5,4,5,4,4,5,5,5,4,4,3,1,4,3,2,
480,1,36,2,8,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,1,1,6,2,1,4,4,4,3,4,3,4,3,4,4,2,3,2,4,3,3,3,3,5,3,3,4,3,4,2,5,2,2,
481,1,43,3,2,1,,,4,5,,,8,,8,AI,absent,scene first,2,,,,,2,2,4,3,3,3,4,3,4,3,3,2,4,3,4,4,3,4,3,2,4,2,4,2,1,5,3,2,사전에 설명이 없었으면 인공지능으로 작업한 내용인지 식별하기도 어려울 것 같습니다.
484,1,36,2,1,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,1,2,2,2,1,2,4,3,3,2,3,4,3,4,4,3,3,5,4,4,4,4,4,4,4,4,4,4,4,1,5,6,1,없습니다.
486,2,44,3,8,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,1,1,4,1,1,4,3,3,3,3,4,3,3,3,2,4,3,3,3,3,3,3,3,3,2,3,3,3,2,1,5,1,2,
489,1,58,4,1,1,2,3,4,5,,7,,,7,Human,absent,scene first,1,2,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,1,5,4,2,
492,1,47,3,4,1,,3,4,5,,7,8,,1,Human,present,classroom first,1,2,2,1,1,4,3,4,3,3,3,3,3,3,3,2,2,4,3,3,3,3,2,2,3,3,3,3,2,2,5,3,2,
498,2,47,3,1,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,1,3,2,2,2,2,4,2,2,2,2,1,1,2,4,2,2,1,4,2,2,2,2,1,1,2,2,2,1,5,6,2,
501,1,44,3,8,1,2,,4,5,6,7,8,,2,AI,present,classroom first,2,,,,,4,5,4,3,2,3,4,3,4,3,4,3,4,3,4,3,2,3,4,3,3,2,3,2,1,5,6,2,
504,1,52,4,5,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,2,4,2,1,3,3,4,3,3,4,3,3,3,3,3,3,4,3,4,3,4,4,3,3,4,3,3,3,1,6,5,2,
506,1,40,3,14,1,2,3,4,5,,7,8,,6,AI,present,scene first,1,1,2,2,1,2,2,3,3,2,3,2,2,4,2,3,1,2,2,3,3,3,3,3,3,4,3,4,2,2,5,3,2,"의도하는 내용은 전달이 되지만, 예술적인 가치는 느껴지지 않는다"
507,1,44,3,8,1,,,,,,,,,4,AI,absent,classroom first,1,1,3,1,1,3,3,4,4,3,4,3,4,4,4,3,3,3,2,3,3,4,3,2,3,3,2,3,2,1,5,3,2,
511,2,30,2,8,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,2,2,1,1,2,2,5,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,5,7,2,
516,2,44,3,6,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,1,1,5,1,1,3,3,4,4,3,3,4,3,3,3,3,3,3,4,4,4,3,3,4,3,4,3,3,3,1,6,1,2,
517,2,52,4,1,1,2,3,4,5,6,7,8,,5,Human,present,scene first,2,,,,,2,5,4,4,3,5,4,3,3,4,3,3,5,5,5,4,4,5,4,4,4,3,4,4,1,2,1,1,없습니다
522,1,37,2,8,1,2,3,4,5,,7,8,,3,Human,absent,classroom first,2,,,,,3,4,4,4,4,4,4,3,4,3,4,3,3,4,4,4,4,4,4,4,5,4,5,4,1,5,3,2,
527,2,43,3,8,1,,,4,,6,7,8,,7,Human,absent,scene first,2,,,,,3,4,4,4,4,4,4,3,4,4,4,3,4,3,3,4,4,4,3,2,3,2,2,2,2,5,4,2,
528,2,44,3,1,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,1,1,5,1,1,3,4,4,4,3,3,4,3,3,4,4,3,2,3,4,4,3,3,3,2,3,2,2,2,1,5,1,1,
530,2,61,5,3,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,1,5,1,1,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,1,4,2,2,없음
532,2,39,2,1,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,2,2,1,1,2,2,3,3,2,2,3,2,4,2,2,1,2,4,4,4,3,2,3,3,4,3,3,2,2,5,4,2,없음
535,1,39,2,8,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,1,2,1,1,1,4,4,3,3,3,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,1,5,3,2,
539,2,33,2,15,1,,3,4,,,7,8,,1,Human,present,classroom first,1,1,6,1,1,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,3,4,4,4,4,3,1,4,2,2,
542,2,39,2,8,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,1,2,3,2,1,4,5,4,5,5,5,4,5,5,3,3,3,4,4,5,5,5,5,4,5,4,4,4,5,1,5,5,2,
544,2,40,3,11,1,2,3,4,5,,,8,,2,AI,present,classroom first,1,1,5,2,1,4,3,4,2,3,3,3,2,2,3,4,3,3,2,3,2,3,2,3,2,4,3,3,3,1,4,2,1,
545,2,28,1,2,1,2,3,4,5,,7,8,,2,AI,present,classroom first,1,1,6,1,1,3,2,3,4,2,3,3,4,3,3,3,2,3,3,4,4,3,3,4,3,3,3,3,2,1,5,2,2,없습니다
547,1,45,3,8,1,2,3,4,5,,7,8,,1,Human,present,classroom first,1,1,6,1,1,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,1,6,4,2,
549,2,30,2,8,1,2,3,4,5,,7,8,,3,Human,absent,classroom first,2,,,,,1,1,1,1,3,3,4,4,3,4,3,3,3,4,4,3,3,3,4,4,4,4,3,3,2,5,2,2,없습니다!
551,2,25,1,1,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,1,2,1,1,4,3,4,3,3,3,3,3,4,3,4,3,4,4,4,3,3,3,3,3,3,3,4,3,1,6,2,2,
552,1,57,4,2,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,2,,,,,2,4,4,4,3,4,4,4,4,3,4,3,3,3,4,4,3,4,4,3,4,3,4,4,2,5,4,2,인간이 가질수 있는 고유의 생각과 창작은 아직은 이른거 같다.
553,2,41,3,8,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,2,,,,,4,3,4,4,3,4,4,4,3,3,4,3,4,3,4,4,3,3,4,3,4,3,4,3,1,5,3,2,
556,2,35,2,8,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,1,5,2,2,3,3,4,3,3,3,3,2,2,3,3,2,2,2,3,2,2,2,2,1,2,2,2,2,1,6,3,2,
558,2,45,3,8,1,2,3,4,5,,,8,,5,Human,present,scene first,2,,,,,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,5,5,4,4,3,5,4,1,4,2,2,
559,2,27,1,10,1,2,3,4,5,6,7,8,,6,AI,present,scene first,1,2,4,2,1,2,2,5,5,3,2,5,3,5,4,4,3,2,2,5,5,4,3,5,4,5,3,5,4,1,5,2,2,
561,1,53,4,8,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,2,4,1,1,3,1,4,1,1,1,4,3,3,3,4,2,2,1,4,1,1,1,3,3,3,3,4,1,2,4,2,2,
562,2,31,2,1,1,2,3,4,5,6,,8,,3,Human,absent,classroom first,1,2,4,1,1,3,4,4,3,3,3,4,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,5,4,1,5,2,1,그림 표본이 많으면 좋을것 같습니다.
563,2,31,2,4,1,2,3,4,5,,7,8,,3,Human,absent,classroom first,1,1,6,2,1,4,3,2,2,4,4,4,4,4,3,4,3,3,4,4,2,3,4,4,4,4,4,4,3,1,5,1,2,더 많이 보고싶어요!
565,2,25,1,14,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,1,3,1,2,3,2,4,2,3,3,4,3,4,3,4,3,2,3,4,2,3,3,4,3,4,3,4,2,1,5,2,2,
570,2,32,2,1,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,1,2,5,1,1,2,4,4,4,4,4,3,3,3,4,4,2,2,4,4,4,2,3,3,4,3,4,2,2,1,2,2,2,
572,2,49,3,1,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,1,4,2,2,2,4,4,4,4,4,4,5,5,5,4,3,4,5,5,5,5,5,5,4,5,4,4,4,1,5,3,2,
577,2,42,3,8,1,,3,4,,,7,8,,6,AI,present,scene first,2,,,,,4,3,4,2,3,3,3,4,4,4,3,3,3,3,4,3,3,3,2,4,4,4,4,3,2,5,2,2,
578,2,25,1,13,1,2,3,,5,,7,8,,6,AI,present,scene first,1,1,3,1,1,2,2,4,3,3,2,2,4,3,2,2,2,4,3,4,3,4,2,4,3,4,4,3,3,1,2,2,2,없음
584,2,39,2,8,1,,3,4,5,,,8,,4,AI,absent,classroom first,1,2,3,1,1,4,3,4,4,2,3,2,3,2,4,4,3,2,3,4,3,2,3,4,4,4,3,4,2,1,4,3,1,:-)
587,2,29,1,7,1,2,,4,5,,7,8,,4,AI,absent,classroom first,2,,,,,3,2,3,3,2,3,3,3,3,3,3,2,2,2,4,3,3,3,4,4,4,4,3,3,2,5,2,2,
592,2,25,1,3,1,2,3,4,5,6,7,8,,5,Human,present,scene first,2,,,,,2,4,4,3,3,4,4,3,3,5,3,2,4,3,5,4,1,3,2,4,2,4,3,1,2,4,7,2,
596,2,38,2,4,1,,,,,,,,,1,Human,present,classroom first,2,,,,,3,4,4,3,4,4,4,4,4,3,3,3,3,4,4,3,4,4,4,4,4,4,3,3,1,2,2,2,
612,2,41,3,5,1,2,3,4,5,,7,8,,4,AI,absent,classroom first,1,1,2,1,1,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,2,5,2,2,
616,2,51,4,1,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,2,1,1,1,2,3,3,4,4,4,4,3,4,3,3,3,3,4,4,3,3,3,3,2,2,2,2,1,1,5,3,1,
628,2,25,1,1,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,1,2,5,2,2,2,3,3,2,2,3,4,3,3,3,3,2,2,3,3,3,3,3,3,3,3,4,3,2,2,5,2,1,
629,2,45,3,8,1,2,3,,5,6,7,8,,1,Human,present,classroom first,1,1,6,2,2,3,4,4,4,3,4,3,2,4,2,3,1,1,2,4,4,4,4,1,1,1,1,1,1,1,4,3,2,AI작품임을 알겠지만 최대한 인간적이게 보려고 했습니다.그래도 현실을 비판적이게 표현한 작품은  설득력이 느껴졌으나 감상적인 그림은 굉장히 피상적이게 느켜서 공감이 전혀 되지 않았습니다.
631,2,39,2,8,1,2,3,4,5,,7,8,,5,Human,present,scene first,1,1,2,1,1,4,2,4,2,2,4,3,2,3,2,4,2,4,4,4,4,4,4,4,3,4,2,4,2,1,5,3,2,
633,2,32,2,3,1,,,4,5,,7,8,,7,Human,absent,scene first,1,1,6,2,2,1,1,1,1,1,1,1,1,3,2,1,1,1,3,1,1,1,3,2,1,1,1,1,1,2,5,3,2,
634,2,42,3,5,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,2,,,,,3,4,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,3,3,3,1,4,7,2,
